SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Feb 06 11:13:17 GMT 2024
User: chemug
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: MAYP115949
Integration Time (usec): 100000 (MAYP115949)
Spectra Averaged: 1 (MAYP115949)
Boxcar Smoothing: 0 (MAYP115949)
Correct for Electrical Dark: No (MAYP115949)
Strobe/Lamp Enabled: No (MAYP115949)
Correct for Detector Non-linearity: No (MAYP115949)
Correct for Stray Light: No (MAYP115949)
Number of Pixels in Processed Spectrum: 2068
>>>>>Begin Processed Spectral Data<<<<<
198.65	-4.00
199.12	-1.00
199.59	3.00
200.06	-2.00
200.53	8.00
201.00	-2.00
201.47	-3.00
201.93	11.00
202.40	16.00
202.87	14.00
203.34	-3.00
203.81	10.00
204.28	1.00
204.75	14.00
205.21	15.00
205.68	5.00
206.15	10.00
206.62	1.00
207.09	0.00
207.56	-7.00
208.02	-1.00
208.49	1.00
208.96	31.00
209.43	17.00
209.90	19.00
210.37	22.00
210.83	1.00
211.30	7.00
211.77	1.00
212.24	-15.00
212.71	15.00
213.18	-13.00
213.64	19.00
214.11	-4.00
214.58	-4.00
215.05	5.00
215.52	-2.00
215.98	13.00
216.45	-4.00
216.92	-1.00
217.39	8.00
217.86	13.00
218.32	11.00
218.79	23.00
219.26	10.00
219.73	4.00
220.19	14.00
220.66	21.00
221.13	6.00
221.60	11.00
222.07	5.00
222.53	20.00
223.00	11.00
223.47	7.00
223.94	14.00
224.40	17.00
224.87	7.00
225.34	14.00
225.81	22.00
226.27	19.00
226.74	4.00
227.21	0.00
227.68	2.00
228.14	14.00
228.61	4.00
229.08	19.00
229.55	24.00
230.01	27.00
230.48	13.00
230.95	9.00
231.41	8.00
231.88	5.00
232.35	15.00
232.82	8.00
233.28	14.00
233.75	-7.00
234.22	5.00
234.68	15.00
235.15	18.00
235.62	11.00
236.09	-3.00
236.55	28.00
237.02	12.00
237.49	9.00
237.95	-1.00
238.42	19.00
238.89	13.00
239.35	-8.00
239.82	28.00
240.29	2.00
240.75	-4.00
241.22	15.00
241.69	21.00
242.16	21.00
242.62	14.00
243.09	19.00
243.56	1.00
244.02	32.00
244.49	-17.00
244.95	16.00
245.42	20.00
245.89	8.00
246.35	2.00
246.82	0.00
247.29	29.00
247.75	4.00
248.22	12.00
248.69	8.00
249.15	26.00
249.62	20.00
250.09	3.00
250.55	17.00
251.02	19.00
251.48	18.00
251.95	26.00
252.42	1.00
252.88	10.00
253.35	37.00
253.82	25.00
254.28	15.00
254.75	14.00
255.21	20.00
255.68	12.00
256.15	19.00
256.61	23.00
257.08	23.00
257.54	13.00
258.01	24.00
258.47	28.00
258.94	14.00
259.41	9.00
259.87	15.00
260.34	1.00
260.80	8.00
261.27	14.00
261.74	9.00
262.20	-12.00
262.67	12.00
263.13	-1.00
263.60	-1.00
264.06	14.00
264.53	33.00
264.99	8.00
265.46	16.00
265.93	11.00
266.39	17.00
266.86	25.00
267.32	2.00
267.79	10.00
268.25	11.00
268.72	17.00
269.18	4.00
269.65	22.00
270.11	20.00
270.58	-3.00
271.04	16.00
271.51	10.00
271.98	12.00
272.44	10.00
272.91	14.00
273.37	24.00
273.84	32.00
274.30	7.00
274.77	0.00
275.23	-4.00
275.70	14.00
276.16	31.00
276.63	6.00
277.09	31.00
277.56	-6.00
278.02	4.00
278.49	19.00
278.95	23.00
279.42	4.00
279.88	25.00
280.34	13.00
280.81	1.00
281.27	14.00
281.74	5.00
282.20	20.00
282.67	13.00
